Accession	GeneName	UnipriotGeneName	MaxLCDLengthPerProtein	DataType
Q8TCY5	MRAP	MRAP_HUMAN	18	BACKGROUND
P35590	TIE1	TIE1_HUMAN	14	BACKGROUND
Q9UGH3	SLC23A2	S23A2_HUMAN	17	BACKGROUND
Q0GE19	SLC10A7	NTCP7_HUMAN	28	BACKGROUND
O75093	SLIT1	SLIT1_HUMAN	17	BACKGROUND
O75094	SLIT3	SLIT3_HUMAN	26	BACKGROUND
O75095	MEGF6	MEGF6_HUMAN	30	BACKGROUND
Q86SI9	C5orf38	CEI_HUMAN	15	BACKGROUND
O75054	IGSF3	IGSF3_HUMAN	20	BACKGROUND
P60368	KRTAP10-2	KR102_HUMAN	60	BACKGROUND
O75052	NOS1AP	CAPON_HUMAN	29	BACKGROUND
O75056	SDC3	SDC3_HUMAN	45	BACKGROUND
P60369	KRTAP10-3	KR103_HUMAN	60	BACKGROUND
Q5T8P6	RBM26	RBM26_HUMAN	60	GR_ONLY
Q658P3	STEAP3	STEA3_HUMAN	19	BACKGROUND
O75061	DNAJC6	AUXI_HUMAN	32	BACKGROUND
Q9UGP4	LIMD1	LIMD1_HUMAN	25	BACKGROUND
Q9UGP5	POLL	DPOLL_HUMAN	17	BACKGROUND
Q5M775	SPECC1	CYTSB_HUMAN	20	BACKGROUND
Q86SH4	PRNT	PRNT_HUMAN	9	BACKGROUND
A2A368	MAGEB16	MAGBG_HUMAN	35	BACKGROUND
Q9UGN5	PARP2	PARP2_HUMAN	18	BACKGROUND
Q9UGN4	CD300A	CLM8_HUMAN	24	BACKGROUND
O75063	FAM20B	XYLK_HUMAN	13	BACKGROUND
O75064	DENND4B	DEN4B_HUMAN	35	BACKGROUND
O75069	TMCC2	TMCC2_HUMAN	31	BACKGROUND
O75071	EFCAB14	EFC14_HUMAN	16	BACKGROUND
O75072	FKTN	FKTN_HUMAN	16	BACKGROUND
Q9UH03	SEPT3	SEPT3_HUMAN	18	BACKGROUND
Q6U949	null	IG2AS_HUMAN	25	BACKGROUND
Q86SH2	ZAR1	ZAR1_HUMAN	19	BACKGROUND
Q9UGM3	DMBT1	DMBT1_HUMAN	17	BACKGROUND
P01567	IFNA7	IFNA7_HUMAN	12	BACKGROUND
Q9UGM6	WARS2	SYWM_HUMAN	14	BACKGROUND
Q9UGM5	FETUB	FETUB_HUMAN	14	BACKGROUND
P01562	IFNA1	IFNA1_HUMAN	20	BACKGROUND
Q86SK9	SCD5	SCD5_HUMAN	20	BACKGROUND
P01563	IFNA2	IFNA2_HUMAN	23	BACKGROUND
O75038	PLCH2	PLCH2_HUMAN	27	BACKGROUND
Q96MY7	FAM161B	F161B_HUMAN	20	BACKGROUND
O75037	KIF21B	KI21B_HUMAN	51	BACKGROUND
P03905	ND4	NU4M_HUMAN	26	BACKGROUND
Q29718	HLA-B	1B82_HUMAN	25	BACKGROUND
Q96MY1	NOL4L	NOL4L_HUMAN	29	BACKGROUND
O75030	MITF	MITF_HUMAN	32	BACKGROUND
O75031	HSF2BP	HSF2B_HUMAN	15	BACKGROUND
P46379	BAG6	BAG6_HUMAN	48	BACKGROUND
Q658N2	WSCD1	WSCD1_HUMAN	19	BACKGROUND
Q06710	PAX8	PAX8_HUMAN	25	BACKGROUND
P01570	IFNA14	IFN14_HUMAN	14	BACKGROUND
P34820	BMP8B	BMP8B_HUMAN	35	BACKGROUND
P60331	KRTAP10-1	KR101_HUMAN	58	BACKGROUND
Q9UGL9	CRCT1	CRCT1_HUMAN	60	BACKGROUND
Q86SJ6	DSG4	DSG4_HUMAN	20	BACKGROUND
P01574	IFNB1	IFNB_HUMAN	8	BACKGROUND
P03915	MT-ND5	NU5M_HUMAN	23	BACKGROUND
Q96MZ0	GDAP1L1	GD1L1_HUMAN	20	BACKGROUND
O75044	SRGAP2	SRGP2_HUMAN	18	BACKGROUND
O75051	PLXNA2	PLXA2_HUMAN	18	BACKGROUND
Q86SJ2	AMIGO2	AMGO2_HUMAN	12	BACKGROUND
P34810	CD68	CD68_HUMAN	48	BACKGROUND
Q9UGM1	CHRNA9	ACHA9_HUMAN	18	BACKGROUND
Q4VC44	FLYWCH1	FWCH1_HUMAN	27	BACKGROUND
P30447	HLA-A	1A23_HUMAN	19	BACKGROUND
Q8TDC0	MYOZ3	MYOZ3_HUMAN	14	BACKGROUND
Q8TDC3	BRSK1	BRSK1_HUMAN	30	BACKGROUND
Q658L1	FAM154B	SAXO2_HUMAN	18	BACKGROUND
P30443	HLA-A	1A01_HUMAN	18	BACKGROUND
Q96NH3	C6orf170	BROMI_HUMAN	18	BACKGROUND
Q86SE9	PCGF5	PCGF5_HUMAN	13	BACKGROUND
Q9UGC7	MTRF1L	RF1ML_HUMAN	18	BACKGROUND
P03928	J01415.25	ATP8_HUMAN	15	BACKGROUND
Q9UGC6	RGS17	RGS17_HUMAN	13	BACKGROUND
Q9BRR0	ZKSCAN3	ZKSC3_HUMAN	11	BACKGROUND
Q5SWL7	PRAMEF14	PRA14_HUMAN	13	BACKGROUND
Q9BRR3	C9orf125	TM246_HUMAN	8	BACKGROUND
P03923	MT-ND6	NU6M_HUMAN	19	BACKGROUND
Q9BRR6	ADPGK	ADPGK_HUMAN	21	BACKGROUND
Q86SE5	RALYL	RALYL_HUMAN	20	BACKGROUND
Q9BRR8	GPATCH1	GPTC1_HUMAN	60	BACKGROUND
Q15928	ZNF141	ZN141_HUMAN	15	BACKGROUND
Q86SE8	NPM2	NPM2_HUMAN	22	BACKGROUND
Q9BRR9	ARHGAP9	RHG09_HUMAN	20	BACKGROUND
A1KXE4	FAM168B	F168B_HUMAN	18	BACKGROUND
Q9BRP8	WIBG	WIBG_HUMAN	23	BACKGROUND
Q4VC39	HIGD2B	HIG2B_HUMAN	13	BACKGROUND
Q8TDD2	SP7	SP7_HUMAN	24	BACKGROUND
Q8TDD1	DDX54	DDX54_HUMAN	17	BACKGROUND
Q96NI6	LRFN5	LRFN5_HUMAN	23	BACKGROUND
Q8TDD5	MCOLN3	MCLN3_HUMAN	15	BACKGROUND
Q15911	ZFHX3	ZFHX3_HUMAN	60	BACKGROUND
P02649	APOE	APOE_HUMAN	25	BACKGROUND
Q15910	EZH2	EZH2_HUMAN	25	BACKGROUND
P17707	AMD1	DCAM_HUMAN	13	BACKGROUND
Q9BRQ0	PYGO2	PYGO2_HUMAN	49	BACKGROUND
Q9BRQ3	NUDT22	NUD22_HUMAN	15	BACKGROUND
P02647	APOA1	APOA1_HUMAN	15	BACKGROUND
Q9BRQ8	AIFM2	AIFM2_HUMAN	14	BACKGROUND
Q9BRQ5	ORAI3	ORAI3_HUMAN	24	BACKGROUND
Q15915	ZIC1	ZIC1_HUMAN	25	BACKGROUND
Q9BS26	ERP44	ERP44_HUMAN	13	BACKGROUND
Q9BRQ6	CHCHD6	MIC25_HUMAN	16	BACKGROUND
Q86SG2	ANKRD23	ANR23_HUMAN	14	BACKGROUND
Q04695	KRT17	K1C17_HUMAN	34	BACKGROUND
Q70J99	UNC13D	UN13D_HUMAN	13	BACKGROUND
P31040	SDHA	SDHA_HUMAN	16	BACKGROUND
Q96NF6	null	CH049_HUMAN	10	BACKGROUND
P02655	APOC2	APOC2_HUMAN	12	BACKGROUND
Q15904	ATP6AP1	VAS1_HUMAN	20	BACKGROUND
P02656	APOC3	APOC3_HUMAN	27	BACKGROUND
Q15906	VPS72	VPS72_HUMAN	24	BACKGROUND
Q9BRP7	FDXACB1	FDXA1_HUMAN	14	BACKGROUND
Q86SG3	DAZ4	DAZ4_HUMAN	19	BACKGROUND
Q9BRP0	OVOL2	OVOL2_HUMAN	34	BACKGROUND
Q86SG4	null	DPCA2_HUMAN	20	BACKGROUND
Q86SG5	S100A7A	S1A7A_HUMAN	10	BACKGROUND
P02654	APOC1	APOC1_HUMAN	14	BACKGROUND
Q86SG6	NEK8	NEK8_HUMAN	15	BACKGROUND
P02671	FGA	FIBA_HUMAN	30	BACKGROUND
P30414	NKTR	NKTR_HUMAN	60	BACKGROUND
Q9BRN9	TM2D3	TM2D3_HUMAN	12	BACKGROUND
P30419	NMT1	NMT1_HUMAN	13	BACKGROUND
Q4VC12	MSS51	MSS51_HUMAN	14	BACKGROUND
P31025	LCN1	LCN1_HUMAN	14	BACKGROUND
Q8TDB8	SLC2A14	GTR14_HUMAN	17	BACKGROUND
Q6XYQ8	SYT10	SYT10_HUMAN	16	BACKGROUND
Q96NG3	TTC25	TTC25_HUMAN	18	BACKGROUND
P30411	BDKRB2	BKRB2_HUMAN	9	BACKGROUND
Q8TDB4	MGARP	HUMMR_HUMAN	18	BACKGROUND
Q96NG8	ZNF582	ZN582_HUMAN	12	BACKGROUND
Q658K8	null	EF1DL_HUMAN	16	BACKGROUND
P03950	ANG	ANGI_HUMAN	18	BACKGROUND
P03952	KLKB1	KLKB1_HUMAN	12	BACKGROUND
P60372	KRTAP10-4	KR104_HUMAN	60	BACKGROUND
P60371	KRTAP10-6	KR106_HUMAN	60	BACKGROUND
P60370	KRTAP10-5	KR105_HUMAN	60	BACKGROUND
Q86SF2	GALNT7	GALT7_HUMAN	20	BACKGROUND
P30408	TM4SF1	T4S1_HUMAN	12	BACKGROUND
P30405	PPIF	PPIF_HUMAN	14	PR_ONLY
Q8TDG4	HELQ	HELQ_HUMAN	16	BACKGROUND
Q04671	OCA2	P_HUMAN	19	BACKGROUND
Q9BRV8	SIKE1	SIKE1_HUMAN	19	BACKGROUND
Q03933	HSF2	HSF2_HUMAN	15	BACKGROUND
Q96ND8	ZNF583	ZN583_HUMAN	11	BACKGROUND
Q9BRV3	SLC50A1	SWET1_HUMAN	24	BACKGROUND
Q7LGC8	CHST3	CHST3_HUMAN	24	BACKGROUND
Q8TDI0	CHD5	CHD5_HUMAN	29	BACKGROUND
P03971	AMH	MIS_HUMAN	43	BACKGROUND
Q9BRU9	UTP23	UTP23_HUMAN	17	BACKGROUND
Q96NE9	FRMD6	FRMD6_HUMAN	18	BACKGROUND
Q9UGF5	OR14J1	O14J1_HUMAN	19	BACKGROUND
Q5T8I3	FAM102B	F102B_HUMAN	10	BACKGROUND
Q9UGF7	OR12D3	O12D3_HUMAN	21	BACKGROUND
Q9UGF6	OR5V1	OR5V1_HUMAN	17	BACKGROUND
Q71SY5	MED25	MED25_HUMAN	37	BACKGROUND
Q8TDE3	RNASE8	RNAS8_HUMAN	8	BACKGROUND
P68543	UBXN2A	UBX2A_HUMAN	15	BACKGROUND
D6REC4	null	CFA99_HUMAN	22	BACKGROUND
P29274	ADORA2A	AA2AR_HUMAN	13	BACKGROUND
Q9BRT9	GINS4	SLD5_HUMAN	13	BACKGROUND
Q9BRT8	CBWD1	CBWD1_HUMAN	14	BACKGROUND
P03989	HLA-B	1B27_HUMAN	23	BACKGROUND
Q9BRT7	null	CA097_HUMAN	25	BACKGROUND
Q9BRT6	LLPH	LLPH_HUMAN	30	BACKGROUND
Q96NB2	SFXN2	SFXN2_HUMAN	11	BACKGROUND
Q96NB3	ZNF830	ZN830_HUMAN	16	BACKGROUND
Q9BRT3	MIEN1	MIEN1_HUMAN	8	BACKGROUND
Q96NC0	ZMAT2	ZMAT2_HUMAN	31	BACKGROUND
P34896	SHMT1	GLYC_HUMAN	10	BACKGROUND
P32519	ELF1	ELF1_HUMAN	17	BACKGROUND
Q8TDF5	NETO1	NETO1_HUMAN	20	BACKGROUND
Q8TDF6	RASGRP4	GRP4_HUMAN	25	BACKGROUND
P34897	SHMT2	GLYM_HUMAN	8	BACKGROUND
A7KAX9	ARHGAP32	RHG32_HUMAN	21	BACKGROUND
Q03923	ZNF85	ZNF85_HUMAN	13	BACKGROUND
Q04656	ATP7A	ATP7A_HUMAN	18	BACKGROUND
Q9BRS8	LARP6	LARP6_HUMAN	22	BACKGROUND
Q75WM6	H1FNT	H1FNT_HUMAN	46	BACKGROUND
P03999	OPN1SW	OPSB_HUMAN	14	BACKGROUND
Q6IN85	SMEK1	P4R3A_HUMAN	18	BACKGROUND
Q9BRS2	RIOK1	RIOK1_HUMAN	33	GR_ONLY
Q6IN84	MRM1	MRM1_HUMAN	13	BACKGROUND
Q14469	HES1	HES1_HUMAN	47	BACKGROUND
Q9BSK0	MARVELD1	MALD1_HUMAN	16	BACKGROUND
Q9BSK1	ZNF577	ZN577_HUMAN	10	BACKGROUND
Q03989	ARID5A	ARI5A_HUMAN	17	BACKGROUND
Q8TDM5	SPACA4	SACA4_HUMAN	14	BACKGROUND
Q70JA7	CHSY3	CHSS3_HUMAN	48	BACKGROUND
Q9BSJ6	FAM64A	FA64A_HUMAN	15	BACKGROUND
Q9BSJ5	C17orf80	CQ080_HUMAN	17	BACKGROUND
Q9BSJ8	ESYT1	ESYT1_HUMAN	24	BACKGROUND
Q96N03	VSTM2L	VTM2L_HUMAN	15	BACKGROUND
Q9BSJ2	TUBGCP2	GCP2_HUMAN	18	BACKGROUND
Q9BSJ1	TRIM51	TRI51_HUMAN	15	BACKGROUND
Q96N06	C16orf55	SPT33_HUMAN	12	BACKGROUND
Q5T8D3	ACBD5	ACBD5_HUMAN	25	BACKGROUND
Q9BSL1	UBAC1	UBAC1_HUMAN	26	BACKGROUND
P00451	F8	FA8_HUMAN	18	BACKGROUND
Q96MN2	NLRP4	NALP4_HUMAN	17	BACKGROUND
Q9BSK4	FEM1A	FEM1A_HUMAN	15	BACKGROUND
P56199	ITGA1	ITA1_HUMAN	18	BACKGROUND
Q96MN9	ZNF488	ZN488_HUMAN	25	BACKGROUND
Q8IU99	CALHM1	CAHM1_HUMAN	18	BACKGROUND
Q8IU80	TMPRSS6	TMPS6_HUMAN	22	BACKGROUND
Q14449	GRB14	GRB14_HUMAN	15	BACKGROUND
Q15973	ZNF124	ZN124_HUMAN	14	BACKGROUND
Q14444	CAPRIN1	CAPR1_HUMAN	42	GRPR
Q8IU81	IRF2BP1	I2BP1_HUMAN	30	BACKGROUND
Q96MM3	ZFP42	ZFP42_HUMAN	17	BACKGROUND
Q8TDJ6	DMXL2	DMXL2_HUMAN	16	BACKGROUND
Q7LGA3	HS2ST1	HS2ST_HUMAN	14	BACKGROUND
Q9BSH4	TACO1	TACO1_HUMAN	39	BACKGROUND
Q9BSH5	HDHD3	HDHD3_HUMAN	14	BACKGROUND
Q14451	GRB7	GRB7_HUMAN	18	BACKGROUND
Q8IU85	CAMK1D	KCC1D_HUMAN	20	BACKGROUND
Q96MM6	HSPA12B	HS12B_HUMAN	15	BACKGROUND
Q96MM7	HS6ST2	H6ST2_HUMAN	41	BACKGROUND
Q9UGY1	NOL12	NOL12_HUMAN	17	BACKGROUND
Q8IU89	CERS3	CERS3_HUMAN	16	BACKGROUND
Q14457	BECN1	BECN1_HUMAN	17	BACKGROUND
Q8TDI8	TMC1	TMC1_HUMAN	50	BACKGROUND
Q8TDI7	TMC2	TMC2_HUMAN	40	BACKGROUND
Q9BSI4	TINF2	TINF2_HUMAN	14	BACKGROUND
Q6EKJ0	GTF2IRD2B	GTD2B_HUMAN	15	BACKGROUND
Q5SWA1	PPP1R15B	PR15B_HUMAN	26	BACKGROUND
Q9BT04	FUZ	FUZZY_HUMAN	30	BACKGROUND
Q8TE23	TAS1R2	TS1R2_HUMAN	20	BACKGROUND
P0C626	null	OR5G3_HUMAN	15	BACKGROUND
Q5T8A7	PPP1R26	PPR26_HUMAN	27	BACKGROUND
Q8IU60	DCP2	DCP2_HUMAN	20	BACKGROUND
Q8TDQ1	CD300LF	CLM1_HUMAN	25	BACKGROUND
P0C629	null	O10J4_HUMAN	15	BACKGROUND
Q8TDQ0	HAVCR2	HAVR2_HUMAN	28	BACKGROUND
Q8IU68	TMC8	TMC8_HUMAN	33	BACKGROUND
Q9BSN7	TMEM204	TM204_HUMAN	20	BACKGROUND
Q96MK3	FAM20A	FA20A_HUMAN	21	BACKGROUND
Q96MK2	FAM65C	FA65C_HUMAN	16	BACKGROUND
P02679	FGG	FIBG_HUMAN	21	BACKGROUND
P02675	FGB	FIBB_HUMAN	6	BACKGROUND
Q02487	DSC2	DSC2_HUMAN	16	BACKGROUND
P00414	COX3	COX3_HUMAN	15	BACKGROUND
Q8TE12	LMX1A	LMX1A_HUMAN	15	BACKGROUND
Q9UHA3	RSL24D1	RLP24_HUMAN	13	BACKGROUND
Q9UHA7	IL36A	IL36A_HUMAN	12	BACKGROUND
Q8IU57	IL28RA	INLR1_HUMAN	19	BACKGROUND
Q8IU54	IL29	IFNL1_HUMAN	18	BACKGROUND
P56159	GFRA1	GFRA1_HUMAN	19	BACKGROUND
Q4VC05	BCL7A	BCL7A_HUMAN	18	BACKGROUND
Q9BT09	CNPY3	CNPY3_HUMAN	23	BACKGROUND
P0C645	null	OR4E1_HUMAN	18	BACKGROUND
P0C646	null	O52Z1_HUMAN	13	BACKGROUND
P56192	MARS	SYMC_HUMAN	15	BACKGROUND
P29317	EPHA2	EPHA2_HUMAN	21	BACKGROUND
Q8TE02	ELP5	ELP5_HUMAN	24	BACKGROUND
Q9BSM1	PCGF1	PCGF1_HUMAN	14	BACKGROUND
Q8TE04	PANK1	PANK1_HUMAN	25	BACKGROUND
Q96MI6	PPM1M	PPM1M_HUMAN	16	BACKGROUND
Q14498	RBM39	RBM39_HUMAN	60	GR_ONLY
Q96MI9	AGBL1	CBPC4_HUMAN	23	BACKGROUND
Q6T310	RASL11A	RSLBA_HUMAN	13	BACKGROUND
Q14493	SLBP	SLBP_HUMAN	18	BACKGROUND
Q14494	NFE2L1	NF2L1_HUMAN	50	BACKGROUND
P29320	EPHA3	EPHA3_HUMAN	23	BACKGROUND
P29323	EPHB2	EPHB2_HUMAN	17	BACKGROUND
P29322	EPHA8	EPHA8_HUMAN	19	BACKGROUND
Q8TDN2	KCNV2	KCNV2_HUMAN	18	BACKGROUND
P56181	NDUFV3	NDUV3_HUMAN	23	BACKGROUND
P56180	TPTE	TPTE_HUMAN	19	BACKGROUND
Q8TDN1	KCNG4	KCNG4_HUMAN	26	BACKGROUND
P56182	RRP1	RRP1_HUMAN	24	BACKGROUND
Q8TDN6	BRIX1	BRX1_HUMAN	7	BACKGROUND
Q8TDN4	CABLES1	CABL1_HUMAN	36	BACKGROUND
Q15942	ZYX	ZYX_HUMAN	60	BACKGROUND
P00439	PAH	PH4H_HUMAN	12	BACKGROUND
Q96MH6	TMEM68	TMM68_HUMAN	17	BACKGROUND
Q96MH2	HEXIM2	HEXI2_HUMAN	17	BACKGROUND
P56177	DLX1	DLX1_HUMAN	25	BACKGROUND
P56178	DLX5	DLX5_HUMAN	16	BACKGROUND
P56179	DLX6	DLX6_HUMAN	13	BACKGROUND
Q8TDM6	DLG5	DLG5_HUMAN	21	BACKGROUND
Q6IMN6	CAPRIN2	CAPR2_HUMAN	17	BACKGROUND
P34910	EVI2B	EVI2B_HUMAN	14	BACKGROUND
P35523	CLCN1	CLCN1_HUMAN	20	BACKGROUND
P35527	KRT9	K1C9_HUMAN	60	BACKGROUND
O75150	RNF40	BRE1B_HUMAN	18	BACKGROUND
Q0VFZ6	CCDC173	CC173_HUMAN	27	BACKGROUND
O75147	OBSL1	OBSL1_HUMAN	19	BACKGROUND
Q8TDU5	null	VNRL4_HUMAN	10	BACKGROUND
O75146	HIP1R	HIP1R_HUMAN	23	BACKGROUND
O75145	PPFIA3	LIPA3_HUMAN	23	BACKGROUND
O75144	LOC102723996	ICOSL_HUMAN	14	BACKGROUND
Q8TE60	ADAMTS18	ATS18_HUMAN	27	BACKGROUND
O75143	ATG13	ATG13_HUMAN	18	BACKGROUND
Q96MX0	CMTM3	CKLF3_HUMAN	19	BACKGROUND
O75140	DEPDC5	DEPD5_HUMAN	25	BACKGROUND
Q96MX3	ZNF48	ZNF48_HUMAN	29	BACKGROUND
Q8TE68	EPS8L1	ES8L1_HUMAN	24	BACKGROUND
Q8TDU9	RXFP4	RL3R2_HUMAN	25	BACKGROUND
Q96MX6	WDR92	WDR92_HUMAN	20	BACKGROUND
Q8TDU6	GPBAR1	GPBAR_HUMAN	28	BACKGROUND
Q8TE67	EPS8L3	ES8L3_HUMAN	17	BACKGROUND
Q96N77	ZNF641	ZN641_HUMAN	7	BACKGROUND
O94759	TRPM2	TRPM2_HUMAN	22	BACKGROUND
P01593	null	KV101_HUMAN	18	BACKGROUND
Q59EK9	RUNDC3A	RUN3A_HUMAN	17	BACKGROUND
Q96MV8	ZDHHC15	ZDH15_HUMAN	15	BACKGROUND
Q9UGT4	SUSD2	SUSD2_HUMAN	23	BACKGROUND
A2A2Y4	FRMD3	FRMD3_HUMAN	33	BACKGROUND
Q5SVZ6	ZMYM1	ZMYM1_HUMAN	18	BACKGROUND
Q3YBM2	TMEM176B	T176B_HUMAN	17	BACKGROUND
A7MCY6	TBKBP1	TBKB1_HUMAN	60	BACKGROUND
P34925	RYK	RYK_HUMAN	37	BACKGROUND
Q9BSC4	NOL10	NOL10_HUMAN	24	BACKGROUND
Q8TDT2	GPR152	GP152_HUMAN	26	BACKGROUND
Q8TE54	SLC26A7	S26A7_HUMAN	23	BACKGROUND
Q08945	SSRP1	SSRP1_HUMAN	60	BACKGROUND
O75132	ZBED4	ZBED4_HUMAN	37	BACKGROUND
O75131	CPNE3	CPNE3_HUMAN	10	BACKGROUND
Q8TE59	ADAMTS19	ATS19_HUMAN	60	BACKGROUND
Q96MW1	CCDC43	CCD43_HUMAN	19	BACKGROUND
Q02447	SP3	SP3_HUMAN	35	BACKGROUND
P01589	IL2RA	IL2RA_HUMAN	11	BACKGROUND
P01588	EPO	EPO_HUMAN	26	BACKGROUND
Q96MW5	COG8	COG8_HUMAN	26	BACKGROUND
Q02446	SP4	SP4_HUMAN	43	BACKGROUND
Q8TE56	ADAMTS17	ATS17_HUMAN	34	BACKGROUND
Q96MW7	TIGD1	TIGD1_HUMAN	15	BACKGROUND
Q8TE57	ADAMTS16	ATS16_HUMAN	31	BACKGROUND
Q96N87	SLC6A18	S6A18_HUMAN	60	BACKGROUND
Q8TE58	ADAMTS15	ATS15_HUMAN	20	BACKGROUND
P01584	IL1B	IL1B_HUMAN	13	BACKGROUND
Q9UGQ3	SLC2A6	GTR6_HUMAN	12	BACKGROUND
P35503	UGT1A3	UD13_HUMAN	12	BACKGROUND
P35504	UGT1A5	UD15_HUMAN	12	BACKGROUND
Q96N68	null	CR015_HUMAN	34	BACKGROUND
Q96MU8	KREMEN1	KREM1_HUMAN	25	BACKGROUND
Q96MU6	ZNF778	ZN778_HUMAN	15	BACKGROUND
Q9UGQ2	CACFD1	FLOWR_HUMAN	17	BACKGROUND
Q96N66	MBOAT7	MBOA7_HUMAN	16	BACKGROUND
Q96MU7	YTHDC1	YTDC1_HUMAN	60	BACKGROUND
O94769	ECM2	ECM2_HUMAN	22	BACKGROUND
Q96N67	DOCK7	DOCK7_HUMAN	28	BACKGROUND
Q0VFX4	null	YL016_HUMAN	13	BACKGROUND
O75121	MFAP3L	MFA3L_HUMAN	17	BACKGROUND
Q0VG99	MESP2	MESP2_HUMAN	27	BACKGROUND
O75122	CLASP2	CLAP2_HUMAN	21	BACKGROUND
O75129	ASTN2	ASTN2_HUMAN	32	BACKGROUND
Q96N76	UROC1	HUTU_HUMAN	15	BACKGROUND
O75128	COBL	COBL_HUMAN	22	BACKGROUND
Q8TDS7	MRGPRD	MRGRD_HUMAN	14	BACKGROUND
Q8TDS4	HCAR2	HCAR2_HUMAN	11	BACKGROUND
O75127	PTCD1	PTCD1_HUMAN	10	BACKGROUND
O94766	B3GAT3	B3GA3_HUMAN	22	BACKGROUND
P00403	MT-CO2	COX2_HUMAN	15	BACKGROUND
Q8TDS5	OXER1	OXER1_HUMAN	30	BACKGROUND
O94763	URI1	RMP_HUMAN	23	BACKGROUND
Q96MV1	TMEM56	TMM56_HUMAN	10	BACKGROUND
Q9UGP8	SEC63	SEC63_HUMAN	27	BACKGROUND
O94761	RECQL4	RECQ4_HUMAN	20	BACKGROUND
Q8TE49	OTUD7A	OTU7A_HUMAN	39	BACKGROUND
O94762	RECQL5	RECQ5_HUMAN	20	BACKGROUND
P28221	HTR1D	5HT1D_HUMAN	13	BACKGROUND
Q9UH36	SRRD	SRR1L_HUMAN	53	BACKGROUND
Q9UGR2	ZC3H7B	Z3H7B_HUMAN	18	BACKGROUND
P28223	HTR2A	5HT2A_HUMAN	17	BACKGROUND
Q96MT7	WDR52	CFA44_HUMAN	29	BACKGROUND
Q8N9Z9	IFLTD1	LMTD1_HUMAN	13	BACKGROUND
A1XBS5	FAM92A1	F92A1_HUMAN	14	BACKGROUND
P28222	HTR1B	5HT1B_HUMAN	16	BACKGROUND
Q96MT8	CEP63	CEP63_HUMAN	19	BACKGROUND
P34903	GABRA3	GBRA3_HUMAN	15	BACKGROUND
Q75VX8	FAM59B	GAREL_HUMAN	29	BACKGROUND
